City,SubLocation,Name,Price,Rate_per_sqft,Bedroom,Status,Transaction,Carpet_area_sqft,Total_area
Delhi,Adarsh Apartment,"2 BHK Flat for Sale in Adarsh Apartment, Rohini Sector 9, New Delhi",17000000,6222.0,2,Ready to Move,Resale,2620.0,2733.0
Delhi,Adarsh Nagar Extension,"2 BHK Flat for Sale in Adarsh Nagar Extension, New Delhi",10500000,11667.0,2,Ready to Move,Resale,525.0,900.0
Delhi,Aditi Apartment,"3 BHK Flat for Sale in Aditi Apartment, Indraprastha Extension, Patparganj, New Delhi",17500000,10606.0,3,Ready to Move,Resale,,1651.0
Delhi,Aggarwal Builder Floors,"2 BHK Flat for Sale in Aggarwal Builder Floors, Uttam Nagar, New Delhi",2250000,4091.0,2,Ready to Move,Resale,521.0,550.0
Delhi,Air India Employees Apartment,"3 BHK Flat for Sale in Air India Employees Apartment, Dwarka Sector 3, New Delhi",14000000,7833.0,3,Ready to Move,Resale,,1788.0
Delhi,Alaknanda,"3 BHK Flat for Sale in Alaknanda, New Delhi",27000000,15000.0,3,Ready to Move,Resale,200.0,1800.0
Delhi,Ambedkar Nagar New Delhi,10 BHK House for Sale in Ambedkar Nagar New Delhi,8000000,3556.0,10,Ready to Move,Resale,,2250.0
Delhi,Amritpuri,"2 BHK Flat for Sale in Amritpuri, New Delhi",7800000,7959.0,2,Ready to Move,Resale,1590.0,981.0
Delhi,Anand Niketan,"3 BHK Flat for Sale in Anand Niketan, New Delhi",65000000,34211.0,3,Ready to Move,Resale,3200.0,1900.0
Delhi,Anand Vihar New Delhi,3 BHK House for Sale in Anand Vihar New Delhi,52000000,45217.0,3,Ready to Move,Resale,700.0,1151.0
Delhi,Anarkali Colony,"2 BHK Flat for Sale in Anarkali Colony, Krishna Nagar, New Delhi",4500000,6923.0,2,Ready to Move,Resale,1800.0,651.0
Delhi,Anarkali Colony,"3 BHK Flat for Sale in Anarkali Colony, Krishna Nagar, New Delhi",10000000,7407.0,3,Ready to Move,Resale,2800.0,1351.0
Delhi,Antariksha Apartments,"3 BHK House for Sale in Antariksha Apartments, Vikaspuri Block H New Delhi",9950000,8292.0,3,Ready to Move,Resale,,1200.0
Delhi,Anusandhan Apartment,"3 BHK Flat for Sale in Anusandhan Apartment, Dwarka Sector 6, New Delhi",16200000,4699.0,3,Ready to Move,Resale,1292.0,3448.0
Delhi,Apna Ghar,"2 BHK Flat for Sale in Apna Ghar, Pitampura, New Delhi",14500000,17901.0,2,Ready to Move,Resale,200.0,811.0
Delhi,Apna Villa Apartment,"4 BHK Flat for Sale in Apna Villa Apartment, Dwarka Sector 10, New Delhi",24500000,11136.0,4,Ready to Move,Resale,1700.0,2201.0
Delhi,Appu Enclave Apartment,"2 BHK Flat for Sale in Appu Enclave Apartment, Dwarka Sector 11, New Delhi",14800000,8222.0,2,Ready to Move,Resale,1200.0,1801.0
Delhi,Appu Enclave Apartment,"3 BHK Flat for Sale in Appu Enclave Apartment, Dwarka Sector 11, New Delhi",5000000,4831.0,3,Ready to Move,Resale,810.0,1035.0
Delhi,Arya Chittaranjan Park,"2 BHK Flat for Sale in Arya Chittaranjan Park, Chittaranjan Park, New Delhi",13000000,,2,,Resale,,
Delhi,Ashiana Apartment,"3 BHK Flat for Sale in Ashiana Apartment, Dwarka Sector 6, New Delhi",17300000,9886.0,3,Ready to Move,Resale,,1750.0
Delhi,Ashok Nagar,"3 BHK Flat for Sale in Ashok Nagar, New Delhi",9500000,14706.0,3,Poss. by Sep '23,Resale,,646.0
Delhi,Ashok Vihar,"3 BHK Flat for Sale in Ashok Vihar, New Delhi",27500000,20370.0,3,Ready to Move,Resale,750.0,1351.0
Delhi,Ashok Vihar Phase 1,"3 BHK Flat for Sale in Ashok Vihar Phase 1, New Delhi",27500000,6402.0,3,Ready to Move,Resale,700.0,4296.0
Delhi,Ashram,"2 BHK Flat for Sale in Ashram, New Delhi",6500000,9630.0,2,Ready to Move,Resale,4000.0,675.0
Delhi,Ashram,"3 BHK Flat for Sale in Ashram, New Delhi",10000000,7143.0,3,Poss. by Aug '24,Resale,850.0,1400.0
Delhi,Asian Games Village Complex,"3 BHK Flat for Sale in Asian Games Village Complex, Siri Fort, New Delhi",55000000,27778.0,3,Ready to Move,Resale,6200.0,1980.0
Delhi,Aya Nagar Extension New Delhi,2 BHK House for Sale in Aya Nagar Extension New Delhi,7950000,,2,,Resale,,
Delhi,Ayodhya Enclave,"2 BHK Flat for Sale in Ayodhya Enclave, Rohini Sector 13, New Delhi",14000000,2723.0,2,Ready to Move,Resale,,5142.0
Delhi,Azadpur,"2 BHK House for Sale in Azadpur, Ring Road New Delhi",3800000,3800.0,2,Ready to Move,Resale,1450.0,1000.0
Delhi,Balbir Nagar,"3 BHK Flat for Sale in Balbir Nagar, New Delhi",3600000,3704.0,3,Ready to Move,Resale,975.0,972.0
Delhi,Bank Vihar Apartments,"4 BHK Flat for Sale in Bank Vihar Apartments, Pitampura, New Delhi",22500000,17308.0,4,Ready to Move,Resale,1500.0,1300.0
Delhi,Basai Darapur,"3 BHK Flat for Sale in Basai Darapur, Bali Nagar, New Delhi",12000000,24390.0,3,Ready to Move,Resale,,493.0
Delhi,Batukji Apartment,"3 BHK Flat for Sale in Batukji Apartment, Dwarka Sector 3, New Delhi",18000000,,3,,Resale,,
Delhi,Beri Wala Bagh-Hari Nagar,"1 BHK Flat for Sale in Beri Wala Bagh-Hari Nagar, New Delhi",4200000,4308.0,1,Ready to Move,Resale,920.0,975.0
Delhi,Best Residency,"4 BHK Flat for Sale in Best Residency, DS 19, New Delhi",28000000,12174.0,4,Ready to Move,Resale,,2300.0
Delhi,Bhagwati Garden Extension,"2 BHK Flat for Sale in Bhagwati Garden Extension, Nawada, New Delhi",3500000,4444.0,2,Ready to Move,Resale,300.0,788.0
Delhi,Bhagwati Garden Extension,"3 BHK Flat for Sale in Bhagwati Garden Extension, Nawada, New Delhi",3500000,3239.0,3,Ready to Move,Resale,,1081.0
Delhi,Bhai Parmanand Colony,"2 BHK Flat for Sale in Bhai Parmanand Colony, Mukherjee Nagar, New Delhi",10500000,14583.0,2,Ready to Move,Resale,,721.0
Delhi,Bhairav Bharti Apartment,"3 BHK Flat for Sale in Bhairav Bharti Apartment, Dwarka Sector 12, New Delhi",20700000,12847.0,3,Ready to Move,Resale,,1612.0
Delhi,Bhajanpura,"1 BHK Flat for Sale in Bhajanpura, New Delhi",1900000,5000.0,1,Ready to Move,Resale,,380.0
Delhi,Bhajanpura New Delhi,3 BHK House for Sale in Bhajanpura New Delhi,9000000,,3,Ready to Move,Resale,,
Delhi,Bharat Nagar,"2 BHK Flat for Sale in Bharat Nagar, New Delhi",5500000,10185.0,2,Ready to Move,Resale,,541.0
Delhi,Bharat Nagar New Delhi,2 BHK House for Sale in Bharat Nagar New Delhi,4950000,14545.0,2,Ready to Move,Resale,,341.0
Delhi,Bhogal,"7 BHK House for Sale in Bhogal, Jangpura New Delhi",60000000,7228.0,7,Ready to Move,Resale,,8302.0
Delhi,Bijwasan,"1 BHK Flat for Sale in Bijwasan, New Delhi",1500000,4167.0,1,Ready to Move,Resale,,360.0
